"","sex","yob","g2000","g2002","g2004","p2000","p2002","p2004","treatment","cluster","voted","hh_id","hh_size","numberofnames","p2004_mean","g2004_mean","age","bintreat"
"100861","female",1959,"yes","yes","yes","no","no","No"," Control",2904,"No",52268,2,21,0.4761905,0.9047619,47,0
"163789","female",1950,"yes","yes","yes","no","no","No"," Control",4749,"Yes",85477,3,21,0.0952381,0.9047619,56,0
"280380","male",1962,"no","no","yes","no","no","No"," Neighbors",8142,"No",146547,2,21,0.047619,0.9047619,44,1
"331998","male",1949,"yes","no","yes","no","yes","Yes"," Neighbors",9629,"Yes",173314,2,21,0.2857143,1,57,1
"150929","male",1983,"no","no","yes","no","no","Yes"," Control",4367,"No",78604,6,21,0.3333333,0.952381,23,0
"99685","male",1957,"no","yes","yes","no","yes","No"," Control",2870,"No",51660,2,21,0.2380952,1,49,0
"62834","female",1938,"yes","yes","yes","no","no","No"," Control",1811,"No",32591,2,21,0.2857143,0.9047619,68,0
"263418","female",1922,"yes","yes","yes","no","no","No"," Control",7664,"No",137937,2,21,0.6190476,0.8095238,84,0
"116082","female",1970,"yes","yes","yes","no","no","No"," Control",3344,"No",60178,2,21,0.047619,0.9047619,36,0
"29295","male",1955,"yes","no","yes","no","no","No"," Control",854,"No",15363,2,21,0.0952381,1,51,0
"89285","male",1942,"yes","yes","yes","no","yes","No"," Control",2572,"No",46296,2,19,0.2631579,0.9473684,64,0
"66814","female",1967,"yes","yes","yes","no","yes","No"," Neighbors",1926,"Yes",34655,2,21,0.0952381,1,39,1
"137485","male",1930,"yes","yes","yes","no","yes","No"," Control",3968,"Yes",71409,2,21,0.2380952,0.8571429,76,0
"259880","male",1947,"no","no","yes","no","no","Yes"," Control",7561,"No",136096,2,21,0.4761905,0.952381,59,0
"106941","female",1947,"yes","yes","yes","no","no","Yes"," Control",3077,"Yes",55372,1,21,0.2380952,0.9047619,59,0
"86241","female",1965,"yes","yes","yes","no","yes","Yes"," Neighbors",2481,"Yes",44654,2,21,0.0952381,0.952381,41,1
"2770","female",1955,"yes","yes","yes","no","no","No"," Control",82,"No",1476,2,21,0.3809524,0.8571429,51,0
"343476","male",1970,"no","no","yes","no","no","Yes"," Neighbors",9981,"No",179657,2,21,0.4761905,0.7142857,36,1
"171897","female",1968,"yes","yes","yes","no","no","Yes"," Neighbors",4982,"No",89669,2,21,0.1904762,0.9047619,38,1
"85856","female",1962,"yes","no","yes","no","no","No"," Neighbors",2471,"No",44464,2,21,0.4285714,1,44,1
"98353","female",1962,"yes","yes","yes","yes","no","No"," Control",2832,"No",50976,2,21,0.3809524,1,44,0
"222657","male",1957,"yes","yes","yes","no","no","No"," Control",6481,"No",116658,3,21,0.2857143,0.8571429,49,0
"19223","male",1961,"yes","yes","yes","no","no","No"," Neighbors",563,"Yes",10132,2,21,0.2380952,0.8571429,45,1
"86911","male",1964,"yes","yes","yes","yes","yes","No"," Control",2501,"Yes",45016,2,21,0.2857143,1,42,0
"203231","female",1955,"yes","yes","yes","no","no","No"," Control",5906,"No",106293,2,21,0.2380952,0.9047619,51,0
"309303","female",1963,"no","no","yes","no","yes","Yes"," Control",8958,"Yes",161228,2,21,0.3333333,0.952381,43,0
"191462","male",1983,"no","no","yes","no","no","No"," Control",5560,"No",100065,3,21,0.1428571,0.952381,23,0
"109342","female",1963,"yes","yes","yes","no","yes","Yes"," Control",3147,"No",56629,1,21,0.2380952,1,43,0
"295332","male",1964,"yes","yes","yes","no","no","Yes"," Control",8558,"No",154040,2,21,0.1428571,0.952381,42,0
"147964","male",1951,"yes","yes","yes","no","no","No"," Control",4279,"No",77007,2,21,0.1904762,1,55,0
"258958","female",1974,"yes","yes","yes","no","yes","No"," Control",7535,"Yes",135629,2,21,0.1428571,0.8571429,32,0
"246247","male",1943,"yes","yes","yes","no","yes","No"," Neighbors",7168,"No",129018,2,21,0.2380952,0.9047619,63,1
"18758","male",1952,"yes","yes","yes","no","no","Yes"," Control",550,"No",9884,3,21,0.4285714,0.952381,54,0
"160415","female",1948,"yes","yes","yes","no","no","Yes"," Control",4650,"Yes",83693,2,21,0.6190476,0.9047619,58,0
"238802","male",1951,"yes","yes","yes","no","no","No"," Control",6960,"No",125268,3,21,0.4761905,0.952381,55,0
"277280","female",1926,"yes","yes","yes","no","yes","No"," Control",8055,"No",144990,1,21,0.2380952,0.9047619,80,0
"172394","male",1938,"yes","yes","yes","yes","no","No"," Control",4996,"Yes",89921,2,21,0.4285714,0.9047619,68,0
"64634","female",1981,"no","no","yes","no","no","No"," Control",1863,"No",33529,4,21,0.2380952,0.952381,25,0
"76202","male",1981,"yes","yes","yes","no","no","No"," Neighbors",2196,"No",39526,3,21,0.0952381,0.952381,25,1
"99233","male",1947,"yes","yes","yes","yes","no","Yes"," Control",2858,"No",51428,2,21,0.3809524,0.8571429,59,0
"265124","male",1970,"yes","yes","yes","no","no","No"," Control",7712,"No",138807,1,21,0.2380952,0.9047619,36,0
"106931","male",1966,"yes","yes","yes","no","yes","No"," Neighbors",3076,"No",55366,1,21,0.0952381,0.8571429,40,1
"259655","female",1965,"yes","yes","yes","no","no","No"," Control",7555,"No",135986,2,21,0.3333333,0.8571429,41,0
"32108","female",1963,"yes","yes","yes","no","yes","No"," Neighbors",934,"Yes",16798,2,21,0.047619,0.952381,43,1
"118755","female",1960,"yes","yes","yes","no","no","No"," Control",3421,"No",61578,2,21,0.5238096,0.952381,46,0
"340628","male",1934,"yes","yes","yes","yes","no","Yes"," Control",9893,"No",178064,2,21,0.4285714,0.8095238,72,0
"190906","female",1950,"yes","yes","yes","no","no","No"," Control",5543,"No",99766,2,21,0.0952381,1,56,0
"53014","male",1968,"yes","yes","yes","no","yes","No"," Neighbors",1530,"No",27533,2,21,0.2857143,1,38,1
"153061","female",1957,"no","yes","yes","no","no","No"," Neighbors",4431,"No",79742,2,21,0.0952381,0.6190476,49,1
"225270","female",1951,"yes","yes","yes","yes","yes","Yes"," Control",6557,"No",118022,2,21,0.4285714,0.952381,55,0
"225923","female",1982,"yes","no","yes","no","no","No"," Control",6578,"No",118393,3,21,0.2857143,0.8095238,24,0
"43624","male",1958,"yes","yes","yes","no","yes","No"," Control",1264,"Yes",22752,2,21,0.1428571,0.952381,48,0
"5477","male",1953,"yes","yes","yes","no","yes","No"," Control",163,"No",2917,2,21,0.1428571,0.8571429,53,0
"284160","female",1951,"yes","no","yes","no","yes","No"," Control",8240,"No",148317,2,21,0.2380952,1,55,0
"36221","female",1953,"yes","yes","yes","no","yes","Yes"," Neighbors",1051,"No",18912,2,21,0.5238096,0.8571429,53,1
"100393","male",1945,"yes","yes","yes","no","yes","No"," Control",2891,"No",52021,1,21,0.2857143,0.9047619,61,0
"245065","male",1963,"yes","yes","yes","yes","no","Yes"," Control",7134,"Yes",128403,1,21,0.3333333,0.952381,43,0
"39769","female",1965,"yes","yes","yes","no","no","No"," Control",1153,"No",20740,2,18,0,0.9444444,41,0
"200104","female",1942,"yes","yes","yes","no","no","No"," Control",5811,"Yes",104596,2,21,0.2380952,1,64,0
"194502","female",1959,"yes","no","yes","no","no","Yes"," Control",5646,"No",101619,2,20,0.45,0.95,47,0
"111122","female",1964,"yes","yes","yes","yes","no","Yes"," Control",3198,"No",57560,1,21,0.5238096,0.9047619,42,0
"205169","male",1953,"yes","yes","yes","no","no","Yes"," Control",5964,"Yes",107346,2,21,0.7142857,0.9047619,53,0
"164353","female",1965,"yes","yes","yes","no","yes","Yes"," Neighbors",4765,"Yes",85763,2,21,0.2380952,1,41,1
"280006","male",1955,"yes","yes","yes","yes","no","No"," Neighbors",8131,"Yes",146351,3,21,0.4761905,1,51,1
"139655","male",1941,"yes","no","yes","no","yes","No"," Control",4032,"No",72573,3,21,0.1428571,1,65,0
"111438","male",1947,"yes","yes","yes","no","no","No"," Control",3208,"Yes",57732,2,21,0.2380952,0.952381,59,0
"278139","male",1961,"yes","yes","yes","no","no","Yes"," Control",8079,"No",145416,2,21,0.3809524,1,45,0
"174086","female",1961,"yes","yes","yes","no","no","No"," Control",5047,"Yes",90831,4,21,0.2857143,0.8571429,45,0
"265027","male",1956,"yes","yes","yes","yes","no","No"," Control",7709,"No",138762,3,21,0.3333333,0.9047619,50,0
"219334","male",1957,"yes","no","yes","yes","no","Yes"," Control",6383,"Yes",114893,1,21,0.5714286,0.8571429,49,0
"67202","male",1977,"no","yes","yes","no","no","No"," Control",1937,"No",34866,2,21,0.2857143,0.8571429,29,0
"113984","female",1962,"no","no","yes","no","no","No"," Control",3282,"No",59063,2,21,0.1428571,0.8571429,44,0
"195226","male",1954,"yes","yes","yes","no","yes","No"," Control",5668,"No",102013,2,21,0.1428571,0.952381,52,0
"66363","male",1984,"no","no","yes","no","no","No"," Neighbors",1913,"No",34426,2,21,0.1428571,0.952381,22,1
"47707","female",1954,"yes","yes","yes","no","yes","No"," Control",1379,"No",24817,2,21,0.047619,1,52,0
"30620","female",1960,"yes","yes","yes","yes","yes","No"," Control",891,"Yes",16023,3,21,0.1428571,1,46,0
"40538","male",1965,"yes","yes","yes","no","yes","No"," Control",1175,"No",21136,3,21,0,0.8095238,41,0
"111460","female",1960,"yes","yes","yes","no","yes","No"," Control",3209,"No",57745,2,21,0.2857143,1,46,0
"149742","female",1958,"yes","yes","yes","yes","yes","No"," Neighbors",4331,"No",77956,2,21,0.1428571,1,48,1
"226411","male",1983,"no","no","yes","no","no","No"," Control",6593,"No",118658,3,21,0.2380952,0.952381,23,0
"20437","female",1957,"yes","yes","yes","no","no","Yes"," Control",600,"No",10785,2,21,0.4285714,0.8571429,49,0
"201599","female",1967,"yes","yes","yes","yes","no","Yes"," Control",5856,"No",105401,1,21,0.2857143,0.7619048,39,0
"266874","female",1949,"yes","yes","yes","no","no","No"," Control",7763,"No",139732,2,21,0.3809524,0.952381,57,0
"335814","female",1984,"no","no","yes","no","no","No"," Neighbors",9744,"Yes",175381,3,21,0.3809524,0.952381,22,1
"225129","female",1960,"yes","yes","yes","no","no","Yes"," Control",6553,"No",117944,2,21,0.3809524,0.952381,46,0
"59114","female",1953,"yes","yes","yes","no","no","No"," Control",1706,"No",30695,3,21,0.2380952,0.8571429,53,0
"204834","female",1962,"no","yes","yes","no","no","No"," Control",5954,"No",107165,2,21,0.0952381,0.952381,44,0
"301810","male",1971,"yes","yes","yes","no","no","Yes"," Control",8739,"No",157288,2,21,0.6190476,0.952381,35,0
"7253","male",1961,"yes","yes","yes","yes","no","No"," Neighbors",214,"No",3843,2,21,0.047619,0.9047619,45,1
"35251","male",1964,"yes","yes","yes","no","no","No"," Control",1023,"No",18411,1,21,0.0952381,0.9047619,42,0
"175332","female",1981,"no","yes","yes","no","yes","No"," Control",5085,"No",91527,4,21,0.2380952,0.952381,25,0
"271488","female",1938,"yes","yes","yes","no","yes","No"," Control",7891,"No",142037,2,21,0.5238096,0.8095238,68,0
"126265","male",1965,"no","no","yes","no","no","No"," Neighbors",3641,"Yes",65522,2,21,0.2380952,1,41,1
"307289","female",1948,"yes","yes","yes","no","no","Yes"," Control",8901,"No",160207,2,21,0.3809524,0.9047619,58,0
"417","male",1959,"yes","yes","yes","yes","no","Yes"," Neighbors",13,"Yes",233,2,21,0.4285714,0.8095238,47,1
"22728","male",1945,"yes","no","yes","no","no","Yes"," Control",669,"No",12034,1,21,0.5238096,0.9047619,61,0
"200434","female",1921,"yes","yes","yes","no","yes","No"," Control",5821,"No",104765,2,21,0.1904762,0.8571429,85,0
"184844","male",1969,"no","yes","yes","no","yes","No"," Control",5363,"No",96532,2,21,0.2857143,0.8095238,37,0
"283648","male",1934,"yes","yes","yes","yes","yes","No"," Control",8227,"No",148072,2,21,0.4761905,1,72,0
"180320","male",1954,"yes","yes","yes","no","yes","No"," Control",5231,"No",94152,2,21,0.1904762,1,52,0
"340789","male",1938,"yes","yes","yes","no","no","Yes"," Neighbors",9898,"No",178154,2,21,0.7142857,0.952381,68,1
"85934","female",1986,"no","no","yes","no","no","No"," Neighbors",2473,"No",44504,3,21,0.2857143,1,20,1
"179871","male",1940,"yes","yes","yes","yes","yes","No"," Control",5218,"No",93918,3,21,0.3809524,1,66,0
"158544","male",1960,"yes","no","yes","yes","no","No"," Control",4594,"Yes",82675,2,21,0.2380952,0.952381,46,0
"1698","male",1959,"no","no","yes","no","no","Yes"," Neighbors",50,"No",899,2,21,0.5714286,0.9047619,47,1
"127163","male",1969,"yes","yes","yes","yes","no","No"," Control",3667,"No",65997,2,21,0.3333333,0.9047619,37,0
"53020","female",1978,"yes","yes","yes","no","yes","No"," Control",1530,"No",27537,1,21,0.1904762,0.8571429,28,0
"109127","male",1947,"yes","yes","yes","no","yes","No"," Control",3140,"No",56518,4,21,0,0.9047619,59,0
"114752","male",1939,"yes","yes","yes","yes","yes","Yes"," Control",3305,"Yes",59483,2,21,0.3809524,0.8571429,67,0
"323302","female",1948,"no","yes","yes","no","no","No"," Neighbors",9361,"No",168496,2,21,0.0952381,0.6666667,58,1
"293251","male",1959,"yes","no","yes","no","no","No"," Neighbors",8495,"No",152906,2,21,0.2857143,0.8095238,47,1
"238708","female",1959,"yes","yes","yes","no","no","No"," Control",6957,"No",125223,1,21,0.4761905,0.9047619,47,0
"25433","female",1953,"yes","yes","yes","no","yes","No"," Control",747,"No",13435,1,21,0.5714286,1,53,0
"99953","female",1960,"yes","no","yes","no","no","Yes"," Control",2878,"No",51797,2,21,0.1428571,0.8571429,46,0
"199322","male",1958,"yes","yes","yes","no","no","No"," Control",5788,"No",104183,2,21,0.0952381,0.8571429,48,0
"87202","male",1948,"yes","yes","yes","yes","yes","No"," Control",2510,"No",45165,1,21,0.1428571,0.9047619,58,0
"314271","female",1968,"yes","no","yes","no","no","No"," Control",9101,"No",163808,2,21,0.2857143,0.9047619,38,0
"92958","female",1944,"no","yes","yes","no","no","No"," Neighbors",2678,"No",48202,3,21,0.1428571,0.7142857,62,1
"36451","male",1964,"yes","yes","yes","yes","no","No"," Control",1058,"Yes",19027,2,21,0.3333333,0.9047619,42,0
"103247","male",1949,"yes","yes","yes","no","no","No"," Control",2971,"No",53467,3,21,0.1428571,0.8571429,57,0
"195101","male",1953,"yes","yes","yes","no","no","Yes"," Control",5664,"No",101949,2,21,0.2380952,0.952381,53,0
"210227","female",1954,"yes","yes","yes","no","yes","No"," Control",6115,"No",110054,2,21,0.2857143,0.952381,52,0
"128251","male",1961,"yes","yes","yes","yes","no","No"," Neighbors",3698,"Yes",66555,2,21,0,0.9047619,45,1
"151008","male",1947,"yes","yes","yes","no","no","Yes"," Control",4370,"No",78646,1,21,0.5238096,0.8571429,59,0
"241008","female",1966,"yes","no","yes","no","no","No"," Control",7021,"No",126367,2,21,0.3809524,1,40,0
"6307","male",1956,"yes","yes","yes","yes","yes","Yes"," Neighbors",187,"Yes",3365,2,21,0.3809524,0.952381,50,1
"6414","female",1981,"yes","no","yes","no","no","No"," Control",190,"No",3410,3,21,0.1904762,0.952381,25,0
"90087","male",1943,"yes","yes","yes","no","yes","No"," Control",2596,"No",46725,3,21,0.2857143,0.8571429,63,0
"220062","male",1954,"yes","yes","yes","no","no","No"," Neighbors",6405,"No",115279,2,21,0.2380952,0.952381,52,1
"176396","female",1958,"yes","yes","yes","yes","yes","Yes"," Control",5116,"No",92077,3,21,0.2380952,0.8095238,48,0
"93817","male",1948,"yes","yes","yes","no","no","No"," Control",2702,"No",48635,2,21,0.6666667,1,58,0
"316281","female",1947,"yes","no","yes","no","no","Yes"," Control",9157,"No",164810,2,21,0.3333333,1,59,0
"121757","female",1939,"yes","yes","yes","yes","no","No"," Control",3507,"Yes",63121,2,21,0.4285714,0.9047619,67,0
"198776","male",1953,"yes","yes","yes","yes","yes","No"," Control",5773,"No",103902,1,21,0.2380952,0.8571429,53,0
"95322","male",1962,"yes","yes","yes","no","no","Yes"," Control",2745,"No",49404,1,21,0.4285714,0.952381,44,0
"120268","female",1939,"yes","yes","yes","yes","no","Yes"," Neighbors",3465,"Yes",62365,2,21,0.1428571,0.8571429,67,1
"231231","male",1954,"yes","yes","yes","no","no","Yes"," Control",6736,"Yes",121234,2,21,0.2857143,0.952381,52,0
"8450","male",1968,"yes","yes","yes","no","no","Yes"," Control",249,"Yes",4465,2,21,0.3333333,0.952381,38,0
"173904","female",1969,"yes","yes","yes","no","no","Yes"," Control",5042,"Yes",90739,2,21,0.4761905,0.952381,37,0
"191182","male",1955,"yes","yes","yes","yes","no","Yes"," Control",5551,"No",99917,3,21,0.0952381,0.9047619,51,0
"57936","male",1961,"yes","yes","yes","no","no","Yes"," Control",1672,"No",30092,2,21,0.3809524,0.952381,45,0
"230417","female",1955,"yes","yes","yes","no","yes","Yes"," Control",6712,"Yes",120815,2,21,0.1904762,0.8095238,51,0
"4649","female",1966,"yes","yes","yes","no","yes","No"," Control",139,"Yes",2486,2,21,0.0952381,0.952381,40,0
"189764","male",1958,"yes","yes","yes","no","yes","No"," Control",5509,"Yes",99148,2,21,0.3809524,0.9047619,48,0
"172338","male",1961,"no","yes","yes","no","no","Yes"," Control",4994,"Yes",89891,2,21,0.2380952,0.8571429,45,0
"47490","female",1948,"yes","yes","yes","no","no","No"," Control",1373,"Yes",24701,3,21,0.047619,1,58,0
"185234","female",1981,"no","yes","yes","no","no","No"," Control",5375,"No",96747,3,21,0.2380952,1,25,0
"326505","male",1943,"yes","yes","yes","yes","no","Yes"," Control",9462,"Yes",170303,2,21,0.6190476,0.952381,63,0
"207336","female",1926,"yes","yes","yes","yes","no","Yes"," Control",6031,"No",108545,2,21,0.7142857,1,80,0
"278334","female",1955,"yes","yes","yes","no","no","Yes"," Control",8085,"No",145516,2,21,0.1428571,0.9047619,51,0
"172390","male",1950,"no","yes","yes","yes","yes","Yes"," Control",4996,"Yes",89920,4,21,0.3809524,0.9047619,56,0
"30244","female",1959,"yes","yes","yes","no","yes","No"," Control",879,"No",15821,2,21,0.4761905,0.952381,47,0
"196416","female",1962,"yes","yes","yes","yes","yes","No"," Control",5702,"Yes",102628,2,21,0.1904762,0.952381,44,0
"527","female",1966,"yes","yes","yes","no","no","Yes"," Control",17,"No",296,2,21,0.3333333,0.952381,40,0
"48786","male",1958,"yes","yes","yes","no","no","Yes"," Control",1409,"Yes",25354,2,21,0.3333333,0.9047619,48,0
"180280","male",1956,"yes","yes","yes","no","no","No"," Neighbors",5230,"No",94133,3,21,0.1428571,1,50,1
"54844","female",1986,"no","no","yes","no","no","No"," Neighbors",1584,"Yes",28509,3,21,0.0952381,0.9047619,20,1
"48038","female",1934,"yes","yes","yes","no","no","Yes"," Control",1388,"Yes",24977,1,21,0.5714286,1,72,0
"313580","male",1962,"yes","yes","yes","no","yes","Yes"," Control",9081,"Yes",163456,2,21,0.4761905,0.9047619,44,0
"87092","female",1963,"yes","no","yes","no","yes","No"," Control",2507,"No",45111,1,21,0.2857143,0.952381,43,0
"133819","male",1937,"yes","yes","yes","yes","no","No"," Control",3862,"Yes",69506,2,21,0.3809524,0.8095238,69,0
"234344","male",1922,"yes","yes","yes","yes","yes","No"," Control",6829,"No",122910,1,21,0.2380952,0.7142857,84,0
"147716","female",1958,"yes","yes","yes","no","no","No"," Control",4272,"Yes",76884,3,21,0.2857143,0.952381,48,0
"297276","male",1954,"yes","no","yes","no","no","No"," Control",8614,"No",155042,2,21,0.4761905,1,52,0
"32877","male",1965,"yes","yes","yes","no","no","No"," Control",955,"No",17183,2,21,0.3809524,0.952381,41,0
"268302","male",1953,"yes","no","yes","yes","no","Yes"," Control",7805,"No",140480,1,21,0.3333333,0.7142857,53,0
"185720","male",1958,"yes","yes","yes","yes","yes","No"," Control",5390,"No",97009,2,21,0.2857143,0.952381,48,0
"206537","male",1938,"yes","yes","yes","yes","no","No"," Control",6007,"No",108109,3,21,0.2857143,0.8095238,68,0
"123503","female",1930,"yes","yes","yes","no","no","Yes"," Control",3559,"No",64055,3,21,0.1904762,0.9047619,76,0
"197225","male",1958,"yes","yes","yes","no","yes","Yes"," Control",5726,"Yes",103059,2,21,0.5238096,0.9047619,48,0
"245955","male",1926,"yes","yes","yes","yes","no","Yes"," Control",7159,"Yes",128856,1,21,0.4285714,0.9047619,80,0
"175341","female",1971,"yes","yes","yes","no","yes","Yes"," Control",5086,"No",91531,2,21,0.2380952,0.8571429,35,0
"28127","female",1986,"no","no","yes","no","no","No"," Control",822,"No",14779,5,21,0.4761905,1,20,0
"254066","female",1975,"yes","yes","yes","no","yes","Yes"," Control",7392,"Yes",133052,2,21,0.7619048,1,31,0
"81996","female",1951,"yes","no","yes","no","yes","No"," Control",2358,"No",42441,2,21,0.1904762,0.9047619,55,0
"334936","female",1964,"yes","no","yes","no","no","No"," Control",9717,"No",174899,2,21,0.5238096,0.952381,42,0
"176990","male",1921,"yes","yes","yes","yes","yes","No"," Neighbors",5133,"No",92394,2,21,0.0952381,0.8095238,85,1
"171172","female",1948,"yes","no","yes","yes","yes","No"," Neighbors",4962,"No",89300,1,21,0.0952381,0.9047619,58,1
"342479","female",1957,"yes","yes","yes","no","no","Yes"," Control",9950,"No",179096,2,21,0.5714286,0.952381,49,0
"61044","female",1944,"yes","yes","yes","yes","no","Yes"," Control",1760,"Yes",31670,2,21,0.4761905,0.8571429,62,0
"197141","female",1928,"yes","yes","yes","no","yes","No"," Control",5723,"No",103013,2,21,0.3809524,0.952381,78,0
"333262","male",1950,"yes","yes","yes","no","yes","No"," Control",9667,"No",174001,2,21,0.047619,0.952381,56,0
"323414","male",1938,"yes","no","yes","no","no","Yes"," Control",9365,"No",168560,2,21,0.3333333,1,68,0
"257081","male",1968,"yes","yes","yes","no","no","Yes"," Control",7482,"No",134667,2,21,0.8571429,1,38,0
"125207","male",1931,"yes","yes","yes","yes","no","No"," Control",3609,"Yes",64953,2,21,0.3809524,0.8571429,75,0
"337879","male",1945,"yes","yes","yes","yes","yes","No"," Control",9808,"Yes",176537,2,21,0.4761905,1,61,0
"113436","male",1941,"yes","yes","yes","no","yes","No"," Control",3266,"No",58785,2,21,0.4285714,0.8571429,65,0
"122575","female",1979,"no","no","yes","no","yes","No"," Control",3531,"No",63555,3,21,0.2857143,0.9047619,27,0
"207030","male",1934,"yes","yes","yes","no","no","Yes"," Neighbors",6021,"Yes",108372,3,21,0.4761905,0.952381,72,1
"6112","male",1965,"yes","yes","yes","no","yes","No"," Neighbors",182,"No",3260,1,21,0.3809524,0.952381,41,1
"127620","female",1983,"no","yes","yes","no","no","Yes"," Control",3680,"Yes",66229,4,21,0.4285714,1,23,0
"146544","male",1975,"no","yes","yes","no","yes","Yes"," Control",4237,"No",76255,2,21,0.1904762,1,31,0
"145068","male",1954,"yes","yes","yes","yes","no","Yes"," Control",4194,"No",75485,2,21,0.4761905,0.9047619,52,0
"164922","female",1948,"yes","yes","yes","no","yes","No"," Control",4781,"Yes",86052,2,21,0.0952381,1,58,0
"319637","female",1964,"no","yes","yes","no","yes","No"," Control",9251,"No",166506,2,21,0.3809524,0.952381,42,0
"61103","male",1982,"yes","yes","yes","no","no","Yes"," Control",1762,"No",31699,3,21,0.2380952,1,24,0
"152821","male",1935,"yes","yes","yes","no","no","No"," Control",4424,"No",79615,1,21,0.1904762,0.952381,71,0
"329685","male",1931,"no","no","yes","no","no","Yes"," Neighbors",9558,"Yes",172041,2,21,0.6666667,1,75,1
"100706","male",1966,"no","yes","yes","no","no","Yes"," Neighbors",2899,"No",52179,2,21,0.4285714,0.8571429,40,1
"201948","female",1940,"yes","yes","yes","yes","yes","No"," Control",5867,"No",105590,2,19,0.3157895,0.8947368,66,0
"295461","female",1923,"yes","yes","yes","no","yes","No"," Control",8562,"No",154108,1,21,0.2380952,0.9047619,83,0
"231868","male",1949,"yes","yes","yes","no","yes","No"," Control",6754,"Yes",121568,2,21,0.2857143,0.9047619,57,0
"203681","male",1944,"yes","yes","yes","no","yes","No"," Control",5919,"No",106541,2,21,0.1904762,0.5238096,62,0
"288043","female",1944,"yes","yes","yes","no","no","Yes"," Control",8346,"No",150214,2,21,0.2857143,1,62,0
"84267","female",1958,"yes","yes","yes","yes","yes","No"," Control",2424,"Yes",43615,1,21,0.0952381,0.952381,48,0
"316916","male",1955,"yes","yes","yes","no","no","No"," Neighbors",9174,"Yes",165131,3,21,0.047619,1,51,1
"74839","male",1944,"yes","yes","yes","no","no","No"," Control",2157,"No",38813,2,21,0.4761905,0.952381,62,0
"168812","female",1964,"yes","yes","yes","no","no","No"," Neighbors",4894,"No",88090,2,21,0.2380952,0.952381,42,1
"239975","male",1961,"yes","yes","yes","no","no","Yes"," Control",6992,"No",125844,2,21,0.4761905,1,45,0
"288374","male",1969,"yes","yes","yes","no","no","No"," Control",8355,"No",150382,2,21,0.047619,0.952381,37,0
"38308","female",1946,"yes","yes","yes","yes","yes","No"," Control",1111,"Yes",19988,1,21,0.4285714,0.9047619,60,0
"96046","male",1936,"yes","yes","yes","no","no","No"," Control",2766,"Yes",49788,2,21,0.2857143,0.952381,70,0
"207910","female",1949,"yes","yes","yes","no","yes","No"," Control",6048,"Yes",108857,3,21,0.0952381,0.9047619,57,0
"127640","female",1965,"yes","yes","yes","yes","yes","No"," Control",3680,"Yes",66240,2,21,0.047619,0.9047619,41,0
"259331","female",1958,"yes","yes","yes","no","no","Yes"," Control",7546,"Yes",135812,3,21,0.5714286,1,48,0
"242900","female",1961,"yes","yes","yes","no","yes","Yes"," Control",7074,"No",127328,2,21,0.6190476,1,45,0
"240508","female",1953,"yes","yes","yes","no","yes","No"," Control",7007,"No",126115,3,21,0.6666667,1,53,0
"242271","male",1951,"yes","yes","yes","no","no","Yes"," Control",7056,"No",127006,1,21,0.4761905,0.8571429,55,0
"80520","male",1973,"yes","yes","yes","no","yes","No"," Control",2317,"Yes",41706,4,21,0,0.8571429,33,0
"50309","female",1949,"yes","yes","yes","yes","yes","Yes"," Control",1452,"Yes",26131,5,21,0.2857143,1,57,0
"89530","female",1959,"yes","yes","yes","no","no","No"," Control",2580,"Yes",46431,2,21,0.2380952,0.952381,47,0
"53487","female",1949,"yes","yes","yes","yes","no","No"," Control",1544,"No",27787,2,21,0.0952381,0.9047619,57,0
"55882","male",1956,"yes","yes","yes","no","no","Yes"," Control",1614,"No",29038,2,21,0.3809524,0.952381,50,0
"327835","male",1970,"yes","yes","yes","yes","yes","No"," Control",9503,"No",171051,3,21,0.3809524,0.8571429,36,0
"155344","female",1928,"yes","yes","yes","yes","no","No"," Neighbors",4499,"Yes",80976,2,21,0.2857143,0.8571429,78,1
"77741","male",1984,"no","yes","yes","no","no","No"," Control",2241,"No",40327,3,21,0.1428571,1,22,0
"251818","female",1964,"yes","yes","yes","no","yes","Yes"," Control",7326,"No",131855,2,21,0.3333333,0.7619048,42,0
"92180","male",1963,"no","yes","yes","no","yes","Yes"," Control",2656,"No",47805,2,21,0.5714286,0.9047619,43,0
"144770","male",1944,"yes","yes","yes","no","no","No"," Control",4185,"Yes",75326,2,21,0.4285714,0.952381,62,0
"310283","male",1980,"yes","yes","yes","yes","yes","Yes"," Control",8987,"No",161754,4,21,0.2857143,0.952381,26,0
"18259","male",1963,"yes","yes","yes","no","yes","Yes"," Control",535,"No",9621,2,21,0.6190476,0.952381,43,0
"221747","female",1937,"yes","yes","yes","yes","no","Yes"," Control",6455,"No",116178,2,21,0.2380952,0.952381,69,0
"7420","male",1948,"yes","yes","yes","yes","yes","Yes"," Control",219,"Yes",3930,3,21,0.4285714,0.952381,58,0
"90424","male",1950,"yes","yes","yes","no","no","No"," Control",2606,"Yes",46901,2,21,0.1428571,0.9047619,56,0
"223694","female",1982,"yes","yes","yes","no","no","Yes"," Control",6511,"No",117191,3,21,0.3809524,0.8571429,24,0
"183520","female",1945,"yes","no","yes","no","no","Yes"," Control",5324,"Yes",95830,2,21,0.4285714,0.9047619,61,0
