"","id","listing_url","name","host_id","host_name","host_since","host_response_rate","host_is_superhost","host_acceptance_rate","host_listings_count","host_verifications","host_has_profile_pic","neighbourhood_cleansed","latitude","longitude","property_type","room_type","bathrooms","bedrooms","beds","price","has_availability","review_scores_rating","review_scores_accuracy","review_scores_cleanliness","review_scores_checkin","review_scores_communication","review_scores_location","review_scores_value","reviews_per_month"
"1916",13685912,"https://www.airbnb.com/rooms/13685912","Spacious South Austin Cabin in Nature",79708340,"Paul & Krista","2016-06-24","100%","f","40%",2,"['email', 'phone']","t",78748,30.15144,-97.82386,"Entire cabin","Entire home/apt",3,4,10,632,"t",4.91,4.93,4.91,4.99,4.96,4.89,4.85,0.88
"1919",14281779,"https://www.airbnb.com/rooms/14281779","Gardenside Cottage in Historic Hyde Park",4384095,"Shelley","2012-12-11","100%","t","100%",1,"['email', 'phone']","t",78751,30.3052139282227,-97.7350463867188,"Entire guesthouse","Entire home/apt",1,1,1,143,"t",4.96,4.95,5,5,4.98,4.96,4.92,2.34
"1922",13330795,"https://www.airbnb.com/rooms/13330795","Lovely House near Domain",72926795,"Carmen","2016-05-19","100%","t","93%",3,"['email', 'phone']","t",78758,30.39712,-97.69821,"Entire home","Entire home/apt",2,3,3,109,"t",4.9,4.95,4.75,5,5,4.95,4.95,0.21
"1926",13392379,"https://www.airbnb.com/rooms/13392379","Single Shot Studio, Producer's Room (3mi from DT)",75818053,"Brandon","2016-06-04","100%","t","91%",4,"['email', 'phone']","t",78723,30.29071,-97.67584,"Private room in home","Private room",1,1,1,90,"t",5,5,4.75,5,5,4.75,5,0.04
"1927",14304274,"https://www.airbnb.com/rooms/14304274","Greenbelt Access & Views, Close to DT",87398729,"Alexander","2016-08-02","100%","f","98%",3,"['email', 'phone', 'work_email']","t",78746,30.25777,-97.78803,"Entire townhouse","Entire home/apt",2.5,3,4,205,"t",4.79,4.72,4.64,4.86,4.86,4.93,4.73,0.91
"1929",13392592,"https://www.airbnb.com/rooms/13392592","Modern Charmer, Heated Pool, Steps to SoCo!",27177317,"Ashton","2015-02-03","100%","t","97%",10,"['email', 'phone']","t",78704,30.24935,-97.75075,"Entire home","Entire home/apt",2,3,3,570,"t",4.98,4.94,5,4.98,5,5,4.92,1.57
"1931",14317978,"https://www.airbnb.com/rooms/14317978","Newly Furnished: Cozy 2BR Bungalow in Heart of ATX",9309770,"Ajna","2013-10-08","100%","t","100%",1,"['email', 'phone']","t",78757,30.34673,-97.72995,"Entire home","Entire home/apt",1,2,3,170,"t",4.95,5,5,4.95,4.98,4.98,4.95,0.68
"1933",13698295,"https://www.airbnb.com/rooms/13698295","Eastside Bohemian Retreat",16109724,"Adrianne","2014-05-28","100%","t","100%",1,"['email', 'phone']","t",78702,30.25048,-97.72428,"Entire home","Entire home/apt",2.5,3,4,336,"t",4.99,4.98,4.96,5,4.98,4.9,4.9,2.18
"1935",14384238,"https://www.airbnb.com/rooms/14384238","Guadalupe: Geeks and Nerds in Central Austin",8167447,"Martin","2013-08-14","91%","f","66%",98,"['email', 'phone', 'work_email']","t",78751,30.32197,-97.72521,"Private room in home","Private room",1,1,1,41,"t",4.8,4.2,4,4.8,4.6,4.6,4.2,0.05
"1937",14390160,"https://www.airbnb.com/rooms/14390160","Guadalupe: The best place to start in Austin",8167447,"Martin","2013-08-14","91%","f","66%",98,"['email', 'phone', 'work_email']","t",78751,30.32197,-97.72521,"Private room in home","Private room",1,1,1,41,"t",5,5,5,5,5,5,5,0.05
"1938",13465393,"https://www.airbnb.com/rooms/13465393","Hip Airstream Trailer with Hot Tub/Cowboy Pool!",33845910,"Nathan","2015-05-20","100%","f","100%",2,"['email', 'phone', 'work_email']","t",78702,30.2681,-97.71777,"Camper/RV","Entire home/apt",1,1,1,99,"t",4.82,4.88,4.77,4.93,4.89,4.85,4.75,3.48
"1939",13716298,"https://www.airbnb.com/rooms/13716298","Morinay Room - B&BBQ",21987980,"Sam","2014-10-01","100%","t","100%",5,"['email', 'phone']","t",78748,30.18429,-97.829,"Private room in home","Private room",2,1,1,47,"t",4.98,5,4.98,5,5,4.85,4.9,0.42
"1943",13730122,"https://www.airbnb.com/rooms/13730122","Modern South Austin Micro-unit (Monthly rental)",1883744,"Nancy","2012-03-08","100%","t","100%",9,"['email', 'phone']","t",78745,30.22171,-97.77688,"Entire bungalow","Entire home/apt",1,1,1,76,"t",4.77,4.79,4.62,4.91,4.88,4.94,4.79,0.37
"1945",13730506,"https://www.airbnb.com/rooms/13730506","Sleek, Private, and Spacious Austin Retreat",74618,"Kathryn","2010-01-28","100%","f","N/A",1,"['email', 'phone']","t",78741,30.23115,-97.73921,"Entire home","Entire home/apt",3,3,3,100,"t",4.94,4.9,4.87,4.93,4.97,4.71,4.78,0.65
"1946",14474805,"https://www.airbnb.com/rooms/14474805","Architectural Glass House on Greenbelt Cliff",22012830,"Valerie","2014-10-01","100%","t","98%",2,"['email', 'phone']","t",78734,30.38452,-97.92204,"Entire home","Entire home/apt",3.5,4,4,517,"t",4.91,4.97,4.96,4.97,4.96,4.9,4.83,1.85
"1949",14488932,"https://www.airbnb.com/rooms/14488932","Charming studio apartment.  Central location.",16747672,"Christy","2014-06-13","N/A","f","N/A",1,"['email', 'phone']","t",78703,30.28385,-97.75969,"Entire guesthouse","Entire home/apt",1,0,3,500,"t",4.71,4.57,4.43,5,5,4.67,4.83,0.07
"1951",13733969,"https://www.airbnb.com/rooms/13733969","2 Bedroom House  neaR Apple, The Domain",73333451,"Elten","2016-05-22","100%","f","100%",1,"['email', 'phone']","t",78727,30.43871,-97.74282,"Entire home","Entire home/apt",1.5,2,2,101,"t",4.27,4.45,4.05,4.86,4.86,4.86,4.27,0.23
"1952",13529264,"https://www.airbnb.com/rooms/13529264","Perfect Remote Friendly Private Bedroom/Bathroom",77758850,"Bryan","2016-06-14","100%","t","94%",1,"['email', 'phone']","t",78724,30.3018688756756,-97.6268173132161,"Private room in home","Private room",1,1,1,47,"t",4.93,4.95,4.95,5,5,4.85,4.88,2.61
"1953",14501733,"https://www.airbnb.com/rooms/14501733","Walkable Downtown Hideout w/ Workspace",2934425,"Brett","2012-07-14","100%","t","99%",16,"['email', 'phone']","t",78703,30.27234,-97.75533,"Entire rental unit","Entire home/apt",1,1,1,131,"t",4.86,4.93,4.83,4.98,4.93,4.95,4.84,5.62
"1956",13531233,"https://www.airbnb.com/rooms/13531233","convenient location and essentials provided in ATX",72022436,"Jesse","2016-05-14","100%","t","50%",2,"['email', 'phone']","t",78744,30.19494,-97.7295,"Private room in home","Private room",1,1,1,35,"t",4.94,4.94,4.82,4.82,4.94,4.82,4.82,0.18
"1961",13571814,"https://www.airbnb.com/rooms/13571814","Fabulous South Lamar Condominium with Luxury Touches",44664003,"Tobin","2015-09-20","100%","t","100%",8,"['email', 'phone']","t",78704,30.2459,-97.77421,"Entire rental unit","Entire home/apt",1,1,1,84,"t",4.86,4.92,4.93,4.99,4.99,4.92,4.91,3.12
"1963",14536507,"https://www.airbnb.com/rooms/14536507","SXSW COZY AND RELAXING BEDROOM NEAR DOWNTOWN",12923614,"Laura","2014-03-08","100%","f","88%",2,"['email', 'phone', 'work_email']","t",78745,30.21115,-97.76091,"Private room in home","Private room",1,1,0,85,"t",4.86,4.97,4.79,5,4.86,4.75,4.75,0.31
"1966",14575388,"https://www.airbnb.com/rooms/14575388","Infinity Plunge Pool With Canyon Views",33865050,"Tami And Dave","2015-05-20","100%","t","96%",4,"['email', 'phone', 'work_email']","t",78731,30.37659,-97.76979,"Entire home","Entire home/apt",3,3,3,299,"t",4.98,4.91,5,4.96,5,4.96,4.89,0.97
"1968",14587157,"https://www.airbnb.com/rooms/14587157","(Pool & Hot Tub) Modern Zilker Farmhouse",1523587,"Dallas","2011-12-21","93%","t","85%",21,"['email', 'phone']","t",78704,30.24847,-97.78017,"Entire home","Entire home/apt",4.5,5,4,691,"t",4.93,4.9,4.87,4.94,4.97,4.92,4.67,1.1
"1970",13576771,"https://www.airbnb.com/rooms/13576771","Cozy Modern Airstream | Close to Hip Eats/Drinks",4870151,"Rachel","2013-01-27","100%","f","100%",2,"['email', 'phone']","t",78704,30.25562,-97.75804,"Camper/RV","Entire home/apt",1,1,1,68,"t",4.84,4.86,4.78,4.98,4.93,4.98,4.8,3.39
"1972",13799593,"https://www.airbnb.com/rooms/13799593","The Central Hacienda, WALK TO ALL OF DOWNTOWN!",1404731,"Daniel","2011-11-14","100%","t","100%",6,"['email', 'phone']","t",78702,30.26168,-97.7308,"Entire home","Entire home/apt",2,3,6,292,"t",4.97,4.92,4.9,5,5,4.91,4.91,0.42
"1978",13843877,"https://www.airbnb.com/rooms/13843877","Mid-Century Mod Treehouse near Zilker Park",1754114,"Emily","2012-02-15","100%","t","99%",2,"['email', 'phone']","t",78704,30.24353,-97.78595,"Entire bungalow","Entire home/apt",1,2,2,136,"t",4.96,4.98,4.97,4.97,4.99,4.94,4.91,5.01
"1979",14632346,"https://www.airbnb.com/rooms/14632346","Comfort & Convenience in Backyard Studio w/Kitchen",37716788,"Matthew","2015-07-06","100%","t","100%",2,"['email', 'phone']","t",78721,30.27034,-97.69428,"Entire guesthouse","Entire home/apt",1,0,1,69,"t",4.86,4.92,4.86,4.97,4.97,4.73,4.87,5.28
"1980",14636770,"https://www.airbnb.com/rooms/14636770","Charming Cottage 2 Living 5 Beds by AustinGetaways",487072,"Greg & Amanda","2011-04-05","100%","t","98%",12,"['email', 'phone']","t",78757,30.33605,-97.73007,"Entire home","Entire home/apt",2,3,4,360,"t",4.92,4.97,4.94,4.96,5,4.89,4.83,0.84
"1983",13624434,"https://www.airbnb.com/rooms/13624434","Private Studio w/Patio & Grill-Swimming & Wineries",69216869,"Sean & Sarah","2016-04-27","100%","t","100%",2,"['email', 'phone']","t",78736,30.24278,-98.01561,"Entire guest suite","Entire home/apt",1,1,2,82,"t",4.95,4.98,4.94,4.99,4.99,4.93,4.94,2.19
"1984",13631037,"https://www.airbnb.com/rooms/13631037","Austin Creekside Retreat! Pets Ok. Monthly Rates.",1840480,"Scott & Sally","2012-03-01","100%","t","97%",12,"['email', 'phone']","t",78745,30.22132,-97.79595,"Entire home","Entire home/apt",2,2,3,196,"t",4.95,4.9,4.92,5,5,4.83,4.83,0.66
"1986",13635251,"https://www.airbnb.com/rooms/13635251","1BD Downtown/UT Condo - Near Everything!",12037563,"Foster","2014-02-07","N/A","f","100%",1,"['email', 'phone']","t",78701,30.2797,-97.74108,"Entire condo","Entire home/apt",1,1,1,291,"t",4.4,4.8,4.8,4.8,4.8,4.8,4.6,0.05
"1987",15025313,"https://www.airbnb.com/rooms/15025313","La Calavera Casita",94857040,"Chris","2016-09-12","100%","f","80%",1,"['email', 'phone']","t",78745,30.21364,-97.77634,"Entire bungalow","Entire home/apt",2,2,2,226,"t",5,4.98,5,4.98,5,4.89,4.95,0.7
"1991",15034794,"https://www.airbnb.com/rooms/15034794","N.Lamar: Economic spot 1 female spot",8167447,"Martin","2013-08-14","91%","f","66%",98,"['email', 'phone', 'work_email']","t",78756,30.31991,-97.7307,"Shared room in rental unit","Shared room",2,1,1,19,"t",4.92,4.92,4.69,4.83,5,5,5,0.14
"1992",14656022,"https://www.airbnb.com/rooms/14656022","Austin Private Space",45045648,"Dottie","2015-09-25","100%","t","100%",1,"['email', 'phone']","t",78739,30.18817,-97.88431,"Private room in bed and breakfast","Private room",1,2,2,96,"t",4.96,5,5,4.92,4.88,5,4.96,0.94
"1994",15035937,"https://www.airbnb.com/rooms/15035937","Country Living in Austin (close to everything)",94964574,"Todd","2016-09-13","100%","f","100%",1,"['email', 'phone']","t",78739,30.20904,-97.89642,"Entire guesthouse","Entire home/apt",1,1,3,150,"t",5,4.99,4.96,4.99,4.98,4.96,4.93,1.63
"1996",14671618,"https://www.airbnb.com/rooms/14671618","Great home close to everything Austin",31630807,"Santha","2015-04-21","83%","f","58%",1,"['email', 'phone']","t",78728,30.46255,-97.68144,"Entire home","Entire home/apt",2.5,3,3,127,"t",4.52,4.76,4.31,4.97,4.94,4.84,4.66,0.66
"1997",13866655,"https://www.airbnb.com/rooms/13866655","Backyard Guest House 4 Miles from DT",30866956,"Lisa","2015-04-08","100%","t","89%",4,"['email', 'phone', 'work_email']","t",78745,30.21398,-97.78088,"Entire guesthouse","Entire home/apt",1,0,1,79,"t",4.84,4.93,4.77,4.95,4.95,4.84,4.75,3.94
"1998",15052633,"https://www.airbnb.com/rooms/15052633","Comfortable room with adjustable bed.",6222196,"Patty","2013-05-04","100%","t","79%",3,"['email', 'phone']","t",78754,30.3505,-97.6088,"Private room in home","Private room",1,1,1,41,"t",4.66,4.63,4.71,4.76,4.71,4.45,4.58,0.4
"2001",14671731,"https://www.airbnb.com/rooms/14671731","Quiet Cul de Sac in Cherrywood",91010914,"Martin","2016-08-20","100%","t","100%",2,"['email', 'phone']","t",78722,30.29017,-97.72153,"Entire home","Entire home/apt",1,2,2,165,"t",4.98,4.96,4.95,4.97,4.96,4.94,4.89,1.9
"2002",13891311,"https://www.airbnb.com/rooms/13891311","Modern home in the heart of Zilker Park/Downtown",3857066,"Ginny","2012-10-13","100%","f","100%",1,"['email', 'phone']","t",78704,30.25683,-97.7641,"Entire home","Entire home/apt",3,4,5,507,"t",5,5,5,5,5,5,5,0.35
"2003",15067536,"https://www.airbnb.com/rooms/15067536","Clean, Comfy and Fully Stocked Hyde Park Studio 3",27795608,"Sara","2015-02-15","100%","t","96%",6,"['email', 'phone']","t",78751,30.30046,-97.72811,"Entire rental unit","Entire home/apt",1,1,2,79,"t",4.92,4.98,4.89,4.96,4.97,4.98,4.84,1.78
"2005",15074147,"https://www.airbnb.com/rooms/15074147","Austin Charm and Close to Everywhere! 2/1",11403875,"Ashley","2014-01-17","N/A","f","N/A",3,"['email', 'phone']","t",78704,30.25203,-97.77007,"Entire home","Entire home/apt",1,2,4,149,"t",4.92,4.86,4.76,5,4.98,4.96,4.69,0.55
"2007",14697359,"https://www.airbnb.com/rooms/14697359","The Red Stead in East Austin 5mins From DT!",1308773,"Adam","2011-10-18","100%","t","100%",4,"['email', 'phone']","t",78702,30.2749,-97.72304,"Entire home","Entire home/apt",2.5,3,3,190,"t",4.92,4.94,4.86,4.91,4.93,4.82,4.83,2.55
"2010",13912501,"https://www.airbnb.com/rooms/13912501","Trinity Creek",82530387,"Cynthia","2016-07-08","100%","f","100%",1,"['email', 'phone', 'work_email']","t",78734,30.39367,-97.92327,"Entire guest suite","Entire home/apt",2,2,3,250,"t",4.95,4.93,5,4.98,5,4.97,4.9,1.04
"2011",14706958,"https://www.airbnb.com/rooms/14706958","MODERN SUPER TRENDY Central Austin 10 min Downtown",9328324,"Roland","2013-10-09","100%","t","100%",4,"['email', 'phone', 'work_email']","t",78723,30.32163,-97.68371,"Entire home","Entire home/apt",1,2,3,94,"t",4.9,4.9,4.88,4.98,4.97,4.72,4.85,4.07
"2012",13913337,"https://www.airbnb.com/rooms/13913337","Lakefront Bungalow with Pool & Hot Tub (#1)",62926106,"Guy","2016-03-14","94%","f","99%",18,"['email', 'phone']","t",78734,30.37326,-97.98772,"Entire bungalow","Entire home/apt",2,2,3,229,"t",4.54,4.62,4.69,4.77,4.85,4.62,4.69,0.14
"2013",14709100,"https://www.airbnb.com/rooms/14709100","Sunny Room in Peaceful Central Austin House",42793563,"Joan","2015-08-28","100%","f","60%",1,"['email', 'phone', 'work_email']","t",78703,30.30122,-97.75011,"Private room in home","Private room",1,1,1,81,"t",4.94,4.99,4.93,5,5,4.96,4.94,0.75
"2015",15086376,"https://www.airbnb.com/rooms/15086376","Panoramic Lake Views, Pool, Nature, Fun!",95474790,"Michael","2016-09-16","100%","f","100%",2,"['email', 'phone']","t",78734,30.40816,-97.91653,"Entire home","Entire home/apt",2.5,4,6,763,"t",4.87,4.87,4.79,4.95,4.93,4.89,4.74,1.58
"2017",13939315,"https://www.airbnb.com/rooms/13939315","Bedroom and Loft on 2nd Story!",43258456,"Stephen","2015-09-03","N/A","f","100%",1,"['email', 'phone']","t",78748,30.1557630349411,-97.8293823561863,"Private room in home","Private room",2,1,1,85,"t",1,1,1,2,5,5,3,0.13
"2018",15095118,"https://www.airbnb.com/rooms/15095118","Private, Hill Country Guest House",95561755,"Brian","2016-09-17","N/A","f","100%",1,"['email', 'phone', 'work_email']","t",78733,30.3412780761719,-97.853645324707,"Entire guesthouse","Entire home/apt",2,3,5,215,"t",4.84,4.74,4.95,5,4.98,4.91,4.84,0.61
"2019",15095434,"https://www.airbnb.com/rooms/15095434","Country-like setting! Short drive to downtown!",476257451,"Olivia","2022-08-22","N/A","f","N/A",2,"['email', 'phone']","t",78749,30.21531,-97.85053,"Camper/RV","Entire home/apt",1,0,1,65,"t",4.94,4.97,4.91,4.98,4.96,4.91,4.88,7.28
"2020",15109468,"https://www.airbnb.com/rooms/15109468","Guadalupe: Shared Room Central Austin",8167447,"Martin","2013-08-14","91%","f","66%",98,"['email', 'phone', 'work_email']","t",78751,30.32197,-97.72521,"Shared room in home","Shared room",1,1,1,25,"t",4.83,4.92,3.75,4.92,4.92,5,4.75,0.13
"2022",14741664,"https://www.airbnb.com/rooms/14741664","Comfort in Central Austin and pet friendly!",91830957,"Cameron","2016-08-25","90%","t","94%",1,"['email', 'phone']","t",78756,30.32089,-97.74201,"Entire home","Entire home/apt",1,2,3,199,"t",4.84,4.88,4.81,4.93,4.91,5,4.83,1.32
"2023",13941193,"https://www.airbnb.com/rooms/13941193","Walkable Cherrywood Loft, close to UT and Downtown",48610923,"Christopher","2015-11-09","100%","t","100%",1,"['email', 'phone']","t",78722,30.28545,-97.72046,"Entire guesthouse","Entire home/apt",1,1,2,97,"t",4.94,4.96,4.91,4.97,4.93,4.92,4.9,5.67
"2024",14745552,"https://www.airbnb.com/rooms/14745552","Private Room in Rustic Cottage-Single Night Stay",265070,"Lata","2010-10-18","100%","t","100%",2,"['email', 'phone']","t",78733,30.34954,-97.85749,"Private room in home","Private room",1,1,1,89,"t",4.68,4.6,4.75,4.92,4.95,4.68,4.57,0.81
"2027",14772287,"https://www.airbnb.com/rooms/14772287","S Austin Artsy 2 bdrm W/ office. 12min to downtown",27278976,"Desiree","2015-02-05","100%","t","98%",1,"['email', 'phone']","t",78748,30.17815,-97.84457,"Entire home","Entire home/apt",2,2,2,150,"t",4.92,4.97,4.91,5,4.97,4.95,4.86,0.7
"2028",15113719,"https://www.airbnb.com/rooms/15113719","3 BR, 2 Living areas, Near Zilker Park & Downtown",94413847,"Martha","2016-09-09","100%","f","100%",1,"['email', 'phone']","t",78746,30.2698,-97.79755,"Entire home","Entire home/apt",3.5,3,4,450,"t",4.95,4.95,4.97,4.97,5,5,4.92,0.62
"2030",15131298,"https://www.airbnb.com/rooms/15131298","3 min to the Domain, Whole Foods, top golf & Celis",1143594,"Heather","2011-09-11","100%","f","42%",1,"['email', 'phone']","t",78758,30.3939960592695,-97.7240167097023,"Entire home","Entire home/apt",2,3,4,102,"t",4.56,4.67,4.61,4.83,4.78,4.5,4.33,0.2
"2032",14773140,"https://www.airbnb.com/rooms/14773140","Casa Lado Este",92178200,"Richard","2016-08-27","100%","f","100%",2,"['email', 'phone']","t",78702,30.27208,-97.71797,"Entire home","Entire home/apt",2,1,2,179,"t",4.92,4.95,4.95,4.81,4.85,4.68,4.83,0.65
"2034",14784589,"https://www.airbnb.com/rooms/14784589","Rosedale Casita in Quiet Family Neighborhood",18495219,"Claire","2014-07-20","100%","t","98%",1,"['email', 'phone']","t",78756,30.32113,-97.74278,"Entire guesthouse","Entire home/apt",1,0,1,129,"t",4.98,4.96,5,5,4.98,4.98,4.89,1.9
"2038",14785315,"https://www.airbnb.com/rooms/14785315","A Luxury Hotel Alternative",92310501,"Paula","2016-08-28","100%","f","100%",1,"['email', 'phone']","t",78759,30.37776,-97.74411,"Entire guest suite","Entire home/apt",1.5,1,1,250,"t",5,5,5,5,5,5,5,0.06
"2039",14026446,"https://www.airbnb.com/rooms/14026446","Fun Monthly Rental in Hip South Austin!",1883744,"Nancy","2012-03-08","100%","t","100%",9,"['email', 'phone']","t",78745,30.22338,-97.77657,"Entire home","Entire home/apt",1,2,2,110,"t",4.83,4.94,4.58,4.97,4.92,4.77,4.72,0.69
"2041",14044016,"https://www.airbnb.com/rooms/14044016","Tranquil South Congress Home",2701894,"Romy","2012-06-21","100%","f","81%",3,"['email', 'phone']","t",78704,30.23509,-97.75256,"Entire home","Entire home/apt",2,4,5,475,"t",5,5,5,5,5,5,4.86,0.07
"2042",14785881,"https://www.airbnb.com/rooms/14785881","Cozy casita in beautiful east side backyard",6862755,"Ryan","2013-06-11","100%","t","100%",1,"['email', 'phone', 'work_email']","t",78723,30.31206,-97.70166,"Entire guesthouse","Entire home/apt",1,1,1,77,"t",4.98,4.98,4.97,4.99,5,4.89,4.91,3.66
"2044",15140062,"https://www.airbnb.com/rooms/15140062","Bright & Cozy Oasis in Hip East Austin",2021031,"Ellie","2012-03-27","N/A","f","100%",2,"['email', 'phone']","t",78702,30.27027,-97.72775,"Entire home","Entire home/apt",2.5,3,4,655,"t",5,5,5,5,5,5,4.96,0.27
"2045",15157293,"https://www.airbnb.com/rooms/15157293","Quiet & clean space in North Austin",2199532,"Kayla","2012-04-22","100%","t","100%",1,"['email', 'phone']","t",78753,30.3846864299261,-97.6621511990123,"Entire home","Entire home/apt",1,1,1,85,"t",4.95,4.97,4.97,4.99,4.99,4.86,4.94,2
"2047",15163385,"https://www.airbnb.com/rooms/15163385","Luxury apartment in N. Austin with Kitchen/Pool",72873527,"Kevin","2016-05-19","100%","f","89%",1,"['email', 'phone']","t",78727,30.43826,-97.73179,"Entire rental unit","Entire home/apt",1,1,1,129,"t",4.73,4.73,4.82,4.88,4.86,4.67,4.73,0.52
"2051",14057733,"https://www.airbnb.com/rooms/14057733","Comfort & Convenience in Austin",84357752,"Becky","2016-07-17","100%","f","74%",1,"['email', 'phone']","t",78702,30.26568,-97.69761,"Entire rental unit","Entire home/apt",1,0,1,91,"t",4.9,4.96,4.87,4.96,4.94,4.84,4.93,1.46
"2053",14789393,"https://www.airbnb.com/rooms/14789393","Spacious private suite central Austin",578249,"Larry And Susan","2011-05-11","100%","f","86%",1,"['email', 'phone']","t",78751,30.30055,-97.72966,"Entire guest suite","Entire home/apt",1,1,1,60,"t",5,4.14,4.14,4.43,4.43,4.29,4,0.08
"2054",14068188,"https://www.airbnb.com/rooms/14068188","Single Shot Studio, Creator's Room",75818053,"Brandon","2016-06-04","100%","t","91%",4,"['email', 'phone']","t",78723,30.29242,-97.67764,"Private room in home","Private room",1,1,1,70,"t",4.8,5,4.2,5,4.8,4.8,4.6,0.62
"2055",14068513,"https://www.airbnb.com/rooms/14068513","Lakefront Bungalow with Pool & Hot Tub (#4)",62926106,"Guy","2016-03-14","94%","f","99%",18,"['email', 'phone']","t",78734,30.37252,-97.987,"Entire bungalow","Entire home/apt",2,2,3,250,"t",4.65,4.71,4.59,4.88,4.76,4.88,4.41,0.2
"2056",14820133,"https://www.airbnb.com/rooms/14820133","Spectacular Austin SoCo 2/1: Highlands Townhome",92644972,"Bryan","2016-08-30","97%","t","100%",4,"['email', 'phone', 'work_email']","t",78704,30.2268,-97.75255,"Entire townhouse","Entire home/apt",1,2,4,108,"t",4.84,4.89,4.87,4.95,4.93,4.81,4.8,6.15
"2058",14069226,"https://www.airbnb.com/rooms/14069226","Lakefront Bungalow with Pool & Hot Tub (#5)",62926106,"Guy","2016-03-14","94%","f","99%",18,"['email', 'phone']","t",78734,30.37237,-97.98718,"Entire bungalow","Entire home/apt",2,2,3,250,"t",4.76,4.88,4.76,4.76,4.82,4.94,4.65,0.18
"2059",15191175,"https://www.airbnb.com/rooms/15191175","Private Studio, Near Downtown, Lake, Trail, Venues",40416508,"Betty","2015-08-03","100%","t","100%",3,"['email', 'phone']","t",78702,30.25073,-97.72564,"Entire guesthouse","Entire home/apt",1,0,1,99,"t",4.88,4.92,4.82,4.97,4.95,4.93,4.86,3.99
"2060",14069620,"https://www.airbnb.com/rooms/14069620","Waterfront Bungalow with Pool & Hot Tub (#6)",62926106,"Guy","2016-03-14","94%","f","99%",18,"['email', 'phone']","t",78734,30.37226,-97.98733,"Entire bungalow","Entire home/apt",2,2,3,221,"t",4.76,4.76,4.85,4.88,4.82,5,4.71,0.36
"2061",15192607,"https://www.airbnb.com/rooms/15192607","Walk Downtown! Big Comfortable Bed!",14070341,"Carlos","2014-04-09","100%","f","54%",1,"['email', 'phone']","t",78702,30.2701,-97.7291,"Entire home","Entire home/apt",1,1,1,200,"t",4.94,4.96,4.81,4.98,4.98,4.94,4.89,1.43
"2062",15194730,"https://www.airbnb.com/rooms/15194730","Contemporary Home near Barton Springs and SoCo",28248246,"Aaron","2015-02-23","100%","t","96%",1,"['email', 'phone', 'work_email']","t",78704,30.25136,-97.76972,"Entire guesthouse","Entire home/apt",1.5,2,2,195,"t",4.98,4.96,4.99,4.98,4.97,4.96,4.9,2.72
"2065",14824538,"https://www.airbnb.com/rooms/14824538","Work Remotely from This Garden Flat near Town Lake",2293378,"Kathryn","2012-05-04","100%","t","94%",6,"['email', 'phone', 'work_email']","t",78704,30.24643,-97.75744,"Entire guesthouse","Entire home/apt",1.5,1,1,125,"t",4.96,4.95,4.95,5,5,5,4.9,0.5
"2067",14844106,"https://www.airbnb.com/rooms/14844106","Modern & Spacious Home, Minutes from DTown Austin",6752394,"Joe","2013-06-05","100%","f","86%",4,"['email', 'phone', 'work_email']","t",78745,30.22746,-97.78577,"Entire townhouse","Entire home/apt",2.5,3,3,175,"t",4.95,4.98,4.96,5,4.96,4.89,4.88,0.89
"2069",14866552,"https://www.airbnb.com/rooms/14866552","Treetop Deep Eddy Studio - Close in & Quiet",5376321,"Jason","2013-03-08","100%","t","100%",1,"['email', 'phone']","t",78703,30.28268,-97.77042,"Entire guesthouse","Entire home/apt",1,1,1,129,"t",4.93,4.98,4.96,4.99,5,4.98,4.89,1.71
"2071",14069917,"https://www.airbnb.com/rooms/14069917","Waterfront Bungalow with Pool & Hot Tub (#8)",62926106,"Guy","2016-03-14","94%","f","99%",18,"['email', 'phone']","t",78734,30.37203,-97.98757,"Entire bungalow","Entire home/apt",2,2,3,250,"t",4.43,4.64,4.43,4.79,4.79,4.5,4,0.18
"2072",15208205,"https://www.airbnb.com/rooms/15208205","Walk to Moody Ctr, from Upper Flat w/treetop views",19380268,"Ryan","2014-08-03","100%","t","100%",7,"['email', 'phone', 'work_email']","t",78702,30.27933,-97.71852,"Entire guesthouse","Entire home/apt",1,1,1,128,"t",5,4.98,4.99,4.98,4.99,4.91,4.94,2.64
"2073",14070258,"https://www.airbnb.com/rooms/14070258","Waterfront Bungalow with Pool & Hot Tub (#9)",62926106,"Guy","2016-03-14","94%","f","99%",18,"['email', 'phone']","t",78734,30.37192,-97.9877,"Entire bungalow","Entire home/apt",2,2,3,229,"t",4.79,4.84,4.89,5,4.89,4.89,4.53,0.22
"2076",14883534,"https://www.airbnb.com/rooms/14883534","Downtown Artist's Folk Victorian free parking",8243517,"Jennifer","2013-08-18","100%","t","98%",2,"['email', 'phone']","t",78702,30.25934,-97.73236,"Entire bungalow","Entire home/apt",1,1,1,251,"t",4.57,4.57,4.71,5,5,5,4.71,0.08
"2077",15220915,"https://www.airbnb.com/rooms/15220915","Licensed cozy east side bungalow.",96724294,"Roderick","2016-09-25","100%","t","100%",1,"['email', 'phone']","t",78723,30.30384,-97.687,"Entire home","Entire home/apt",2,3,4,118,"t",4.8,4.85,4.7,4.97,4.96,4.8,4.8,5.07
